"2811.T","カゴメ"
"2815.T","アリアケジャパン"
"285A.T","キオクシアホールディングス"
"2871.T","ニチレイ"
"2874.T","横浜冷凍"
"2875.T","東洋水産"
"2882.T","イートアンドホールディングス"
"2884.T","ヨシムラ・フード・ホールディングス"
"2897.T","日清食品ホールディングス"
"2908.T","フジッコ"
"2910.T","ロック・フィールド"
"2914.T","日本たばこ産業"
"2915.T","ケンコーマヨネーズ"
"2918.T","わらべや日洋ホールディングス"
"2922.T","なとり"
"2929.T","ファーマフーズ"
"2930.T","北の達人コーポレーション"
"2931.T","ユーグレナ"
"2933.T","紀文食品"
"2935.T","ピックルスホールディングス"
"2975.T","スター・マイカ・ホールディングス"
"2980.T","ＳＲＥホールディングス"
"2982.T","ＡＤワークスグループ"
"3002.T","グンゼ"
"3003.T","ヒューリック"
"3028.T","アルペン"
"3031.T","ラクーンホールディングス"
"3034.T","クオールホールディングス"
"3036.T","アルコニックス"
"3038.T","神戸物産"
"3040.T","ソリトンシステムズ"
"3046.T","ジンズホールディングス"
"3048.T","ビックカメラ"
"3050.T","ＤＣＭホールディングス"
"3064.T","ＭｏｎｏｔａＲＯ"
"3076.T","あい　ホールディングス"
"3086.T","Ｊ．フロント　リテイリング"
"3087.T","ドトール・日レスホールディングス"
"3088.T","マツキヨココカラ＆カンパニー"
"3091.T","ブロンコビリー"
"3092.T","ＺＯＺＯ"
"3093.T","トレジャー・ファクトリー"
"3097.T","物語コーポレーション"
"3099.T","三越伊勢丹ホールディングス"
"3101.T","東洋紡"
"3103.T","ユニチカ"
"3104.T","富士紡ホールディングス"
"3105.T","日清紡ホールディングス"
"3106.T","倉敷紡績"
"3107.T","ダイワボウホールディングス"
"3109.T","シキボウ"
"3110.T","日東紡績"
"3116.T","トヨタ紡織"
"3132.T","マクニカホールディングス"
"3135.T","マーケットエンタープライズ"
"3139.T","ラクト・ジャパン"
"3148.T","クリエイトＳＤホールディングス"
"3150.T","グリムス"
"3151.T","バイタルケーエスケー・ホールディングス"
"3153.T","八洲電機"
"3154.T","メディアスホールディングス"
"3156.T","レスター"
"3167.T","ＴＯＫＡＩホールディングス"
"3176.T","三洋貿易"
"3179.T","シュッピン"
"3180.T","ビューティガレージ"
"3182.T","オイシックス・ラ・大地"
"3183.T","ウイン・パートナーズ"
"3186.T","ネクステージ"
"3191.T","ジョイフル本田"
"3193.T","エターナルホスピタリティグループ"
"3196.T","ホットランドホールディングス"
"3197.T","すかいらーくホールディングス"
"3198.T","ＳＦＰホールディングス"
"3199.T","綿半ホールディングス"
"3201.T","日本毛織"
"3221.T","ヨシックスホールディングス"
"3231.T","野村不動産ホールディングス"
"3232.T","三重交通グループホールディングス"
"3245.T","ディア・ライフ"
"3252.T","地主"
"3276.T","ＪＰＭＣ"
"3284.T","フージャースホールディングス"
"3288.T","オープンハウスグループ"
"3289.T","東急不動産ホールディングス"
"3291.T","飯田グループホールディングス"
"3302.T","帝国繊維"
"3315.T","日本コークス工業"
"3333.T","あさひ"
"3349.T","コスモス薬品"
"3360.T","シップヘルスケアホールディングス"
"3371.T","ソフトクリエイトホールディングス"
"3382.T","セブン＆アイ・ホールディングス"
"3387.T","クリエイト・レストランツ・ホールディングス"
"3388.T","明治電機工業"
"3391.T","ツルハホールディングス"
"3393.T","スターティアホールディングス"
"3395.T","サンマルクホールディングス"
"3397.T","トリドールホールディングス"
"3401.T","帝人"
"3402.T","東レ"
"3405.T","クラレ"
"3407.T","旭化成"
"3415.T","ＴＯＫＹＯ　ＢＡＳＥ"
"3431.T","宮地エンジニアリンググループ"
"3433.T","トーカロ"
"3436.T","ＳＵＭＣＯ"
"3443.T","川田テクノロジーズ"
"3445.T","ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ"
"3457.T","Ａｎｄ　Ｄｏホールディングス"
"3465.T","ケイアイスター不動産"
"3475.T","グッドコムアセット"
"3480.T","ジェイ・エス・ビー"
"3482.T","ロードスターキャピタル"
"3484.T","イノベーションホールディングス"
"3486.T","グローバル・リンク・マネジメント"
"3496.T","アズーム"
"3498.T","霞ヶ関キャピタル"
"3501.T","ＳＵＭＩＮＯＥ"
"3539.T","ＪＭホールディングス"
"3543.T","コメダホールディングス"
"3546.T","アレンザホールディングス"
"3548.T","バロックジャパンリミテッド"
"3549.T","クスリのアオキホールディングス"
"3561.T","力の源ホールディングス"
"3563.T","ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ"
"3569.T","セーレン"
"3580.T","小松マテーレ"
"3591.T","ワコールホールディングス"
"3593.T","ホギメディカル"
"3608.T","ＴＳＩホールディングス"
"3612.T","ワールド"
"3626.T","ＴＩＳ"
"3632.T","グリーホールディングス"
"3635.T","コーエーテクモホールディングス"
"3636.T","三菱総合研究所"
"3649.T","ファインデックス"
"3655.T","ブレインパッド"
"3656.T","ＫＬａｂ"
"3657.T","ポールトゥウィンホールディングス"
"3659.T","ネクソン"
"3660.T","アイスタイル"
"3661.T","エムアップホールディングス"
"3662.T","エイチームホールディングス"
"3663.T","セルシス"
"3665.T","エニグモ"
"3668.T","コロプラ"
"3673.T","ブロードリーフ"
"3676.T","デジタルハーツホールディングス"
"3678.T","メディアドゥ"
"3679.T","じげん"
"3681.T","ブイキューブ"
"3687.T","フィックスターズ"
"368A.T","北里コーポレーション"
"3694.T","オプティム"
"3696.T","セレス"
"3697.T","ＳＨＩＦＴ"
"3708.T","特種東海製紙"
"3741.T","セック"
"3762.T","テクマトリックス"
"3763.T","プロシップ"
"3765.T","ガンホー・オンライン・エンターテイメント"
"3769.T","ＧＭＯペイメントゲートウェイ"
"3771.T","システムリサーチ"
"3774.T","インターネットイニシアティブ"
"3778.T","さくらインターネット"
"3788.T","ＧＭＯグローバルサイン・ホールディングス"
"3817.T","ＳＲＡホールディングス"
"3834.T","朝日ネット"
"3835.T","ｅＢＡＳＥ"
"3836.T","アバントグループ"
"3837.T","アドソル日進"
"3843.T","フリービット"
"3844.T","コムチュア"
"3853.T","アステリア"
"3854.T","アイル"
"3861.T","王子ホールディングス"
"3863.T","日本製紙"
"3864.T","三菱製紙"
"3865.T","北越コーポレーション"
"3877.T","中越パルプ工業"
"3880.T","大王製紙"
"3901.T","マークラインズ"
"3902.T","メディカル・データ・ビジョン"
"3903.T","ｇｕｍｉ"
"3915.T","テラスカイ"
"3916.T","デジタル・インフォメーション・テクノロジー"
"3921.T","ネオジャパン"
"3922.T","ＰＲ　ＴＩＭＥＳ"
"3923.T","ラクス"
"3924.T","ランドコンピュータ"
"3925.T","ダブルスタンダード"
"3926.T","オープンドア"
"3932.T","アカツキ"
